pay_month,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 
201903,0.000068325 ,0.002112153 ,0.004448891 ,0.006765410 ,0.008975561 ,0.011692119 ,0.014626866 ,0.016434180 ,0.017817166 ,0.018739256 ,0.019938726 ,0.021017069 ,0.021308053 ,0.021099591 ,0.020895297 ,0.020677877 ,,,,
201904,0.000076090 ,0.002096127 ,0.004422739 ,0.006915717 ,0.009983037 ,0.013320205 ,0.015490264 ,0.017031519 ,0.018262996 ,0.019882529 ,0.021317598 ,0.021727503 ,0.022050556 ,0.021878343 ,0.021624838 ,,,,,
201905,0.000078084 ,0.002774422 ,0.005719624 ,0.009409286 ,0.013570782 ,0.016562912 ,0.018786147 ,0.020436974 ,0.022660828 ,0.024890534 ,0.025637817 ,0.026130083 ,0.026513495 ,0.026213135 ,,,,,,
201906,0.000100232 ,0.002792844 ,0.006991768 ,0.011817723 ,0.015322587 ,0.018131995 ,0.020489213 ,0.023368522 ,0.026316587 ,0.027545816 ,0.028334332 ,0.028739565 ,0.028910575 ,,,,,,,
201907,0.000087076 ,0.002869793 ,0.007282844 ,0.010595352 ,0.013567352 ,0.016138405 ,0.019461682 ,0.022841444 ,0.024481704 ,0.025736755 ,0.026514042 ,0.026891886 ,,,,,,,,
201908,0.000084562 ,0.002391535 ,0.005019779 ,0.007441409 ,0.009913224 ,0.013161087 ,0.017140137 ,0.019285386 ,0.020917980 ,0.022216623 ,0.022898657 ,,,,,,,,,
201909,0.000052813 ,0.001748685 ,0.004120599 ,0.006393755 ,0.009634096 ,0.013597566 ,0.015942495 ,0.017880112 ,0.019336457 ,0.020298331 ,,,,,,,,,,
201910,0.000075165 ,0.002739044 ,0.006095954 ,0.010223189 ,0.015436048 ,0.018648147 ,0.021392365 ,0.023526136 ,0.024903100 ,,,,,,,,,,,
201911,0.000076559 ,0.002518225 ,0.006334604 ,0.011320817 ,0.014728584 ,0.017724081 ,0.020128487 ,0.021761810 ,,,,,,,,,,,,
201912,0.000127065 ,0.004109843 ,0.010214260 ,0.014136113 ,0.017896785 ,0.020809894 ,0.023047394 ,,,,,,,,,,,,,
202001,0.000199522 ,0.006941340 ,0.012091571 ,0.016947019 ,0.020994449 ,0.023872928 ,,,,,,,,,,,,,,
202002,0.000254345 ,0.005733511 ,0.011286382 ,0.015877511 ,0.019128589 ,,,,,,,,,,,,,,,
202003,0.000271031 ,0.005247819 ,0.010384915 ,0.014132830 ,,,,,,,,,,,,,,,,
202004,0.000197274 ,0.004570689 ,0.009021392 ,,,,,,,,,,,,,,,,,
202005,0.000155553 ,0.004424452 ,,,,,,,,,,,,,,,,,,
202006,0.000191168 ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
